Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C20, C6, C7, C8, C9",402,12,C100n,C1525
"C2, C3",402,2,C1u,C52923
"C21, C22",402,2,C15p,C1548
"C4, C5",402,2,C10u,C15525
J1,Korean Hroparts Elec - Type C 31 M 12 - 16P - USB 2.0,1,~,C165948
J2,PinHeader_2x25_P1.00mm_Vertical,1,Conn_02x25_Odd_Even,DNF
J3,PinHeader_1x03_P1.00mm_Vertical,1,Conn_01x03_Pin,DNF
"R1, R4, R6",402,3,R1k,C11702
"R2, R3",402,2,R5.1k,C25905
"R7, R8",603,2,R27,C25190
"SW1, SW2",SW_PUSH_6mm,2,SW_Push,DNF
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U2,SOT-23-6,1,USBLC6-2SC6,C7519
U3,SOT-223-3_TabPin2,1,NCP1117-1.5_SOT223,C26537
U4,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
U5,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,C2934560
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C20625731
